FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP
NH,0.1,0.08333333333333333,0.12048192771084337,0.12658227848101267,1.1111111111111112,1.0,D,L,D,L,W,W,W,D,L,L,0,0,0,0,0,0,0,0,0.0,-0.2222222222222222,0.1111111111111111,-0.2222222222222222,3
H,0.16,0.125,0.08433734939759036,0.13924050632911392,1.9,1.3,W,W,W,L,W,L,D,W,D,W,0,0,0,0,0,0,0,0,0.9,0.1,0.6,0.4,-1
NH,0.08,0.10416666666666667,0.18072289156626506,0.13924050632911392,0.4,1.0,L,L,L,L,L,L,D,L,D,L,0,0,1,1,0,0,0,0,-0.7,-0.1,-0.6,-0.2,3
H,0.19,0.125,0.20481927710843373,0.12658227848101267,1.6,1.5,D,W,L,D,W,L,W,W,L,L,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7
NH,0.14,0.07291666666666667,0.24096385542168675,0.13924050632911392,0.9,1.1,L,L,D,D,W,W,L,L,W,D,0,0,0,0,0,0,0,0,-0.6,-0.4,-0.2,-0.2,1
NH,0.09,0.0625,0.12048192771084337,0.12658227848101267,1.2,1.0,W,W,W,D,L,L,D,L,W,W,0,0,0,0,0,0,0,0,-0.1,-0.4,0.2,0.3,-9
H,0.2,0.14583333333333334,0.14457831325301204,0.21518987341772153,1.7,1.1,W,D,D,W,W,W,L,D,W,L,0,0,0,0,0,0,0,0,0.8,-0.3,0.6,0.4,10
NH,0.11,0.11458333333333333,0.20481927710843373,0.08860759493670886,0.8,1.4,L,D,L,W,L,D,D,W,W,W,0,0,0,0,1,0,0,0,-0.6,0.4,-0.6,-0.7,12
NH,0.08,0.15625,0.12048192771084337,0.1518987341772152,1.3,1.3,D,D,W,D,L,D,W,W,L,D,0,0,0,0,0,0,0,0,-0.2,0.3,0.0,-0.2,-6
NH,0.15,0.25,0.0963855421686747,0.10126582278481013,1.9,2.1,W,L,W,W,W,W,W,L,L,W,1,0,0,0,0,0,0,0,0.7,1.6,-0.2,0.3,6
H,0.08,0.125,0.2289156626506024,0.24050632911392406,0.3,0.6,L,D,L,L,L,W,L,D,L,L,0,0,1,0,0,0,0,0,-1.1,-0.7,-0.3,-0.3,4
NH,0.15,0.09375,0.2289156626506024,0.13924050632911392,1.0,1.2727272727272727,L,W,L,D,W,D,D,D,W,D,0,0,0,0,0,0,0,0,-0.36363636363636365,-0.18181818181818182,-0.2727272727272727,0.0,1
NH,0.12,0.15625,0.13253012048192772,0.10126582278481013,1.3636363636363635,1.8181818181818181,L,L,W,W,L,D,W,L,W,W,0,0,0,0,0,0,0,0,0.09090909090909091,0.6363636363636364,-0.45454545454545453,-0.36363636363636365,4
H,0.24,0.14583333333333334,0.0963855421686747,0.26582278481012656,2.0,0.8181818181818182,D,W,W,L,L,L,L,L,D,D,0,0,0,0,0,0,0,0,1.4545454545454546,-0.6363636363636364,1.1818181818181819,0.45454545454545453,-17
NH,0.12,0.09375,0.26506024096385544,0.1518987341772152,0.5454545454545454,1.0909090909090908,L,W,L,D,L,L,W,W,W,D,0,0,0,0,0,0,0,0,-0.9090909090909091,-0.2727272727272727,-0.5454545454545454,-0.5454545454545454,1
NH,0.12,0.1875,0.14457831325301204,0.10126582278481013,1.1818181818181819,2.0,W,L,D,L,D,W,W,W,W,L,0,0,0,0,0,0,0,0,0.0,0.9090909090909091,-0.8181818181818182,-0.6363636363636364,8
H,0.08,0.22916666666666666,0.12048192771084337,0.16455696202531644,1.1818181818181819,1.8181818181818181,W,L,D,L,W,W,W,D,D,W,0,0,0,0,0,0,0,0,-0.18181818181818182,0.8181818181818182,-0.6363636363636364,-0.36363636363636365,5
NH,0.08,0.20833333333333334,0.13253012048192772,0.21518987341772153,1.2727272727272727,1.7272727272727273,W,W,L,L,W,W,D,W,L,D,0,0,0,0,0,0,0,0,-0.2727272727272727,0.2727272727272727,-0.45454545454545453,0.09090909090909091,-1
H,0.13,0.11458333333333333,0.1566265060240964,0.24050632911392406,1.1818181818181819,0.5454545454545454,L,L,D,W,D,W,L,D,L,L,0,0,0,0,0,0,0,0,0.0,-0.7272727272727273,0.6363636363636364,0.09090909090909091,-9
H,0.16,0.125,0.1566265060240964,0.27848101265822783,1.2727272727272727,0.7272727272727273,D,D,W,W,L,L,L,D,L,W,0,0,0,0,0,0,0,0,0.2727272727272727,-0.9090909090909091,0.5454545454545454,0.36363636363636365,-10
H,0.16,0.09375,0.0963855421686747,0.21518987341772153,1.5454545454545454,0.36363636363636365,W,D,D,W,W,L,L,L,L,L,0,0,0,0,0,0,1,1,0.7272727272727273,-0.7272727272727273,1.1818181818181819,1.0,-9
NH,0.12,0.125,0.2891566265060241,0.27848101265822783,0.6666666666666666,0.5833333333333334,L,L,L,D,L,D,L,W,L,D,0,0,0,0,0,0,0,0,-1.0,-0.8333333333333334,0.08333333333333333,-0.3333333333333333,8
H,0.23,0.10416666666666667,0.2289156626506024,0.12658227848101267,1.8333333333333333,1.3333333333333333,W,W,D,W,L,W,W,L,D,L,0,0,0,0,0,0,0,0,0.3333333333333333,0.0,0.5,0.25,0
H,0.15,0.10416666666666667,0.0963855421686747,0.17721518987341772,1.75,1.1666666666666667,D,D,W,L,W,L,W,W,L,L,0,0,0,0,0,0,0,0,0.5833333333333334,-0.3333333333333333,0.5833333333333334,0.16666666666666666,-10
H,0.15,0.125,0.27710843373493976,0.189873417721519,0.75,1.0833333333333333,L,L,L,L,D,L,W,L,D,L,0,0,0,0,0,0,0,0,-0.6666666666666666,-0.25,-0.3333333333333333,-0.25,6
H,0.09,0.16666666666666666,0.14457831325301204,0.27848101265822783,1.0833333333333333,0.9166666666666666,D,L,W,W,W,L,L,W,L,D,1,0,0,0,0,0,0,0,-0.25,-0.5,0.16666666666666666,0.5,6
NH,0.13,0.1875,0.30120481927710846,0.16455696202531644,0.5,1.4166666666666667,L,W,L,D,L,W,D,D,W,W,0,0,0,0,0,0,0,0,-1.0,0.4166666666666667,-0.9166666666666666,-0.5833333333333334,6
NH,0.22,0.19791666666666666,0.18072289156626506,0.189873417721519,1.6666666666666667,1.3333333333333333,L,W,W,D,D,W,L,L,D,W,0,0,0,0,0,0,0,0,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.08333333333333333,8
NH,0.21,0.19791666666666666,0.0963855421686747,0.11392405063291139,2.0833333333333335,1.6666666666666667,W,W,W,W,W,W,W,D,D,W,1,1,0,0,0,0,0,0,1.0833333333333333,0.8333333333333334,0.4166666666666667,0.3333333333333333,-2
NH,0.1,0.2708333333333333,0.24096385542168675,0.11392405063291139,0.3333333333333333,2.0833333333333335,L,L,L,L,L,W,D,W,W,L,0,0,1,1,0,0,0,0,-0.8333333333333334,1.4166666666666667,-1.75,-0.8333333333333334,14
NH,0.12,0.125,0.14457831325301204,0.13924050632911392,1.4166666666666667,1.3333333333333333,W,D,D,D,W,D,L,L,W,W,0,0,0,0,0,0,0,0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,-9
H,0.16,0.16666666666666666,0.27710843373493976,0.2911392405063291,0.8461538461538461,0.9230769230769231,L,L,L,W,L,W,L,L,L,L,0,0,0,0,0,0,1,0,-0.5384615384615384,-0.5384615384615384,-0.07692307692307693,0.0,-15
H,0.2,0.10416666666666667,0.1927710843373494,0.25316455696202533,1.3076923076923077,0.38461538461538464,D,W,L,L,D,D,L,L,L,L,0,0,0,0,0,0,1,0,0.3076923076923077,-0.7692307692307693,0.9230769230769231,0.3076923076923077,-10
